task,policy,po_success_rate,po_std,full_obs_success_rate,full_obs_std,gap_pp
door-open-v3,no_mem,0.0,0.0,,,
door-open-v3,text_buf,0.0,0.0,,,
door-open-v3,struct_mem,0.0,0.0,,,
pick-place-v3,no_mem,0.0,0.0,0.7166666666666667,0.07071067811865477,71.66666666666667
pick-place-v3,text_buf,0.7366666666666667,0.07630348761506399,0.7166666666666667,0.07071067811865477,-2.0000000000000018
pick-place-v3,struct_mem,0.7366666666666667,0.07630348761506399,0.7166666666666667,0.07071067811865477,-2.0000000000000018
push-v3,no_mem,0.0,0.0,0.7388888888888889,0.2874966451763469,73.88888888888889
push-v3,text_buf,0.6666666666666667,0.25055493963954845,0.7388888888888889,0.2874966451763469,7.222222222222219
push-v3,struct_mem,0.6466666666666667,0.26106618998935033,0.7388888888888889,0.2874966451763469,9.222222222222221
reach-v3,no_mem,0.0,0.0,0.8000000000000002,0.013608276348795429,80.00000000000001
reach-v3,text_buf,0.6966666666666667,0.06091888960832355,0.8000000000000002,0.013608276348795429,10.33333333333335
reach-v3,struct_mem,0.6966666666666667,0.06091888960832355,0.8000000000000002,0.013608276348795429,10.33333333333335
