task,policy,n_seeds,episodes_per_seed,flash_every,flash_len,success_rate_mean,success_rate_std,mean_reward_mean,mean_reward_std
pick-place-v3,no_mem,5,60,5,1,0.0,0.0,248.2847826862034,39.88904275611283
pick-place-v3,struct_mem,5,60,5,1,0.73,0.06055300708194982,158.89907706296512,25.192563121752652
pick-place-v3,text_buf,5,60,5,1,0.73,0.06055300708194982,160.46250352166572,25.306179087961997
push-v3,no_mem,5,60,5,1,0.4166666666666667,0.44534630719624624,363.2409442318681,344.813819996037
push-v3,struct_mem,5,60,5,1,0.6333333333333333,0.2889155970559953,765.6865952869316,452.06366456813896
push-v3,text_buf,5,60,5,1,0.6466666666666667,0.2772383651501197,943.6335177776995,475.5105889484305
reach-v3,no_mem,5,60,5,1,0.4,0.07728015412913089,1414.8777851544285,92.02791246429153
reach-v3,struct_mem,5,60,5,1,0.7,0.11606990230986768,1707.9226748335489,25.621021043193476
reach-v3,text_buf,5,60,5,1,0.7066666666666667,0.11995369476964385,1846.0312858433094,13.45555212972743
