run_dir,exp_id,task,policy,controller,episodes,success_rate,avg_steps,avg_reward,avg_grasp_attempts,avg_grasp_success,avg_retry_count,flash_every,flash_len,wall_time_sec,generated
runs/v2_test/mw-button-press-topdown-v3-no_mem-20260413-161350-seed0,mw-button-press-topdown-v3-no_mem-20260413-161350-seed0,button-press-topdown-v3,no_mem,PD,20,0.15,200.0,271.4666290520046,0.0,0.0,0.0,20,1,1.5420386791229248,2026-04-13T16:13:51
runs/v2_test/mw-button-press-topdown-v3-no_mem-20260413-161507-seed0,mw-button-press-topdown-v3-no_mem-20260413-161507-seed0,button-press-topdown-v3,no_mem,PD,20,0.15,200.0,271.4666290520046,0.0,0.0,0.0,20,1,1.5800423622131348,2026-04-13T16:15:08
runs/v2_test/mw-button-press-topdown-v3-no_mem-20260413-162356-seed0,mw-button-press-topdown-v3-no_mem-20260413-162356-seed0,button-press-topdown-v3,no_mem,PD,20,0.0,200.0,136.77872907007344,0.0,0.0,0.0,20,1,1.663055658340454,2026-04-13T16:23:58
runs/v2_test/mw-button-press-topdown-v3-no_mem-20260413-162623-seed0,mw-button-press-topdown-v3-no_mem-20260413-162623-seed0,button-press-topdown-v3,no_mem,PD,20,0.7,200.0,77.59749988305065,0.0,0.0,0.0,20,1,1.746150255203247,2026-04-13T16:26:24
runs/v2_test/mw-button-press-topdown-v3-struct_mem-20260413-155151-seed0,mw-button-press-topdown-v3-struct_mem-20260413-155151-seed0,button-press-topdown-v3,struct_mem,PD,5,0.4,200.0,244.81982271922934,0.0,0.0,0.0,20,1,0.43122339248657227,2026-04-13T15:51:51
runs/v2_test/mw-button-press-topdown-v3-struct_mem-20260413-155241-seed0,mw-button-press-topdown-v3-struct_mem-20260413-155241-seed0,button-press-topdown-v3,struct_mem,PD,5,0.4,200.0,244.81982271922934,0.0,0.0,0.0,20,1,0.4461486339569092,2026-04-13T15:52:42
runs/v2_test/mw-button-press-topdown-v3-struct_mem-20260413-160003-seed0,mw-button-press-topdown-v3-struct_mem-20260413-160003-seed0,button-press-topdown-v3,struct_mem,PD,10,0.2,200.0,271.7944019498969,0.0,0.0,0.0,20,1,0.8673465251922607,2026-04-13T16:00:04
runs/v2_test/mw-door-open-v3-no_mem-20260413-160308-seed0,mw-door-open-v3-no_mem-20260413-160308-seed0,door-open-v3,no_mem,PD,10,0.0,200.0,413.8827269487568,0.0,0.0,0.0,20,1,1.2030165195465088,2026-04-13T16:03:09
runs/v2_test/mw-door-open-v3-no_mem-20260413-160432-seed0,mw-door-open-v3-no_mem-20260413-160432-seed0,door-open-v3,no_mem,PD,10,0.1,200.0,509.4068664492785,0.0,0.0,0.0,20,1,1.3555717468261719,2026-04-13T16:04:34
runs/v2_test/mw-door-open-v3-no_mem-20260413-160935-seed0,mw-door-open-v3-no_mem-20260413-160935-seed0,door-open-v3,no_mem,PD,10,0.1,200.0,585.3256608807916,0.0,0.0,0.0,20,1,1.3548431396484375,2026-04-13T16:09:36
runs/v2_test/mw-door-open-v3-no_mem-20260413-161015-seed0,mw-door-open-v3-no_mem-20260413-161015-seed0,door-open-v3,no_mem,PD,10,0.1,200.0,585.3256608807916,0.0,0.0,0.0,20,1,1.2784783840179443,2026-04-13T16:10:16
runs/v2_test/mw-door-open-v3-no_mem-20260413-161143-seed0,mw-door-open-v3-no_mem-20260413-161143-seed0,door-open-v3,no_mem,PD,20,0.1,200.0,558.044901113107,0.0,0.0,0.0,20,1,2.4983673095703125,2026-04-13T16:11:45
runs/v2_test/mw-door-open-v3-no_mem-20260413-161342-seed0,mw-door-open-v3-no_mem-20260413-161342-seed0,door-open-v3,no_mem,PD,20,0.8,200.0,642.4160298207205,0.0,0.0,0.0,20,1,2.537635087966919,2026-04-13T16:13:45
runs/v2_test/mw-door-open-v3-no_mem-20260413-161459-seed0,mw-door-open-v3-no_mem-20260413-161459-seed0,door-open-v3,no_mem,PD,20,0.8,200.0,642.4160298207205,0.0,0.0,0.0,20,1,2.6097493171691895,2026-04-13T16:15:02
runs/v2_test/mw-door-open-v3-no_mem-20260413-162348-seed0,mw-door-open-v3-no_mem-20260413-162348-seed0,door-open-v3,no_mem,PD,20,0.8,200.0,642.4160298207205,0.0,0.0,0.0,20,1,2.6296541690826416,2026-04-13T16:23:51
runs/v2_test/mw-door-open-v3-struct_mem-20260413-154606-seed0,mw-door-open-v3-struct_mem-20260413-154606-seed0,door-open-v3,struct_mem,PD,5,0.0,200.0,472.71603678670635,0.0,0.0,0.0,20,1,0.634810209274292,2026-04-13T15:46:07
runs/v2_test/mw-door-open-v3-struct_mem-20260413-155149-seed0,mw-door-open-v3-struct_mem-20260413-155149-seed0,door-open-v3,struct_mem,PD,5,0.0,200.0,487.8026483693323,0.0,0.0,0.0,20,1,0.6481294631958008,2026-04-13T15:51:49
runs/v2_test/mw-door-open-v3-struct_mem-20260413-155239-seed0,mw-door-open-v3-struct_mem-20260413-155239-seed0,door-open-v3,struct_mem,PD,5,0.0,200.0,487.8026483693323,0.0,0.0,0.0,20,1,0.6253848075866699,2026-04-13T15:52:40
runs/v2_test/mw-door-open-v3-struct_mem-20260413-155544-seed0,mw-door-open-v3-struct_mem-20260413-155544-seed0,door-open-v3,struct_mem,PD,10,0.0,200.0,477.2438068092291,0.0,0.0,0.0,20,1,1.334660291671753,2026-04-13T15:55:46
runs/v2_test/mw-door-open-v3-struct_mem-20260413-155958-seed0,mw-door-open-v3-struct_mem-20260413-155958-seed0,door-open-v3,struct_mem,PD,10,0.0,200.0,465.58611744303806,0.0,0.0,0.0,20,1,1.3606550693511963,2026-04-13T15:59:59
runs/v2_test/mw-door-open-v3-struct_mem-20260413-160238-seed0,mw-door-open-v3-struct_mem-20260413-160238-seed0,door-open-v3,struct_mem,PD,10,0.0,200.0,413.8827269487568,0.0,0.0,0.0,20,1,1.376100778579712,2026-04-13T16:02:40
runs/v2_test/mw-drawer-open-v3-no_mem-20260413-160435-seed0,mw-drawer-open-v3-no_mem-20260413-160435-seed0,drawer-open-v3,no_mem,PD,10,0.0,200.0,899.2080006384534,0.0,0.0,0.0,20,1,0.8654994964599609,2026-04-13T16:04:36
runs/v2_test/mw-drawer-open-v3-no_mem-20260413-160938-seed0,mw-drawer-open-v3-no_mem-20260413-160938-seed0,drawer-open-v3,no_mem,PD,10,0.0,200.0,1384.876538036705,0.0,0.0,0.0,20,1,0.760833740234375,2026-04-13T16:09:39
runs/v2_test/mw-drawer-open-v3-no_mem-20260413-161018-seed0,mw-drawer-open-v3-no_mem-20260413-161018-seed0,drawer-open-v3,no_mem,PD,10,0.0,200.0,1384.876538036705,0.0,0.0,0.0,20,1,0.7139697074890137,2026-04-13T16:10:18
runs/v2_test/mw-drawer-open-v3-no_mem-20260413-161147-seed0,mw-drawer-open-v3-no_mem-20260413-161147-seed0,drawer-open-v3,no_mem,PD,20,0.0,200.0,1433.123694595256,0.0,0.0,0.0,20,1,1.4219245910644531,2026-04-13T16:11:48
runs/v2_test/mw-drawer-open-v3-no_mem-20260413-161347-seed0,mw-drawer-open-v3-no_mem-20260413-161347-seed0,drawer-open-v3,no_mem,PD,20,1.0,200.0,1532.686468055921,0.0,0.0,0.0,20,1,1.4337077140808105,2026-04-13T16:13:48
runs/v2_test/mw-drawer-open-v3-no_mem-20260413-161504-seed0,mw-drawer-open-v3-no_mem-20260413-161504-seed0,drawer-open-v3,no_mem,PD,20,1.0,200.0,1532.686468055921,0.0,0.0,0.0,20,1,1.442671537399292,2026-04-13T16:15:05
runs/v2_test/mw-drawer-open-v3-no_mem-20260413-162353-seed0,mw-drawer-open-v3-no_mem-20260413-162353-seed0,drawer-open-v3,no_mem,PD,20,1.0,200.0,1532.686468055921,0.0,0.0,0.0,20,1,1.4473271369934082,2026-04-13T16:23:54
runs/v2_test/mw-drawer-open-v3-struct_mem-20260413-155155-seed0,mw-drawer-open-v3-struct_mem-20260413-155155-seed0,drawer-open-v3,struct_mem,PD,5,0.0,200.0,1089.6899514478087,0.0,0.0,0.0,20,1,0.43186211585998535,2026-04-13T15:51:55
runs/v2_test/mw-drawer-open-v3-struct_mem-20260413-155243-seed0,mw-drawer-open-v3-struct_mem-20260413-155243-seed0,drawer-open-v3,struct_mem,PD,5,0.0,200.0,1089.6899514478087,0.0,0.0,0.0,20,1,0.40955209732055664,2026-04-13T15:52:44
runs/v2_test/mw-drawer-open-v3-struct_mem-20260413-155547-seed0,mw-drawer-open-v3-struct_mem-20260413-155547-seed0,drawer-open-v3,struct_mem,PD,10,0.0,200.0,1161.429627759573,0.0,0.0,0.0,20,1,0.8406121730804443,2026-04-13T15:55:48
runs/v2_test/mw-drawer-open-v3-struct_mem-20260413-160001-seed0,mw-drawer-open-v3-struct_mem-20260413-160001-seed0,drawer-open-v3,struct_mem,PD,10,0.0,200.0,1243.3320982623004,0.0,0.0,0.0,20,1,0.8432967662811279,2026-04-13T16:00:02
runs/v2_test/mw-drawer-open-v3-struct_mem-20260413-160242-seed0,mw-drawer-open-v3-struct_mem-20260413-160242-seed0,drawer-open-v3,struct_mem,PD,10,0.0,200.0,939.5246341776472,0.0,0.0,0.0,20,1,0.92856764793396,2026-04-13T16:02:43
runs/v2_test/mw-faucet-open-v3-no_mem-20260413-160943-seed0,mw-faucet-open-v3-no_mem-20260413-160943-seed0,faucet-open-v3,no_mem,PD,10,0.0,200.0,794.2095165918779,0.0,0.0,0.0,20,1,0.9466681480407715,2026-04-13T16:09:43
runs/v2_test/mw-faucet-open-v3-no_mem-20260413-161418-seed0,mw-faucet-open-v3-no_mem-20260413-161418-seed0,faucet-open-v3,no_mem,PD,20,0.0,200.0,779.2424082186357,0.0,0.0,0.0,20,1,1.5117089748382568,2026-04-13T16:14:20
runs/v2_test/mw-faucet-open-v3-no_mem-20260413-162359-seed0,mw-faucet-open-v3-no_mem-20260413-162359-seed0,faucet-open-v3,no_mem,PD,20,0.75,200.0,1180.0828562974125,0.0,0.0,0.0,20,1,1.6595346927642822,2026-04-13T16:24:01
runs/v2_test/mw-faucet-open-v3-struct_mem-20260413-155153-seed0,mw-faucet-open-v3-struct_mem-20260413-155153-seed0,faucet-open-v3,struct_mem,PD,5,0.0,200.0,795.1881632084036,0.0,0.0,0.0,20,1,0.42433643341064453,2026-04-13T15:51:53
runs/v2_test/mw-shelf-place-v3-no_mem-20260413-160949-seed0,mw-shelf-place-v3-no_mem-20260413-160949-seed0,shelf-place-v3,no_mem,PD,10,0.0,200.0,328.81009897579787,0.0,0.0,0.0,20,1,2.190896511077881,2026-04-13T16:09:51
runs/v2_test/mw-shelf-place-v3-no_mem-20260413-161426-seed0,mw-shelf-place-v3-no_mem-20260413-161426-seed0,shelf-place-v3,no_mem,PD,20,0.0,200.0,316.1338689153266,0.0,0.0,0.0,20,1,4.135986328125,2026-04-13T16:14:30
runs/v2_test/mw-shelf-place-v3-no_mem-20260413-162408-seed0,mw-shelf-place-v3-no_mem-20260413-162408-seed0,shelf-place-v3,no_mem,PD,20,0.0,200.0,11.027616033361607,0.0,0.0,0.0,20,1,4.054673671722412,2026-04-13T16:24:12
runs/v2_test/mw-shelf-place-v3-no_mem-20260413-162631-seed0,mw-shelf-place-v3-no_mem-20260413-162631-seed0,shelf-place-v3,no_mem,PD,20,0.0,200.0,11.027616033361607,0.0,0.0,0.0,20,1,3.8619842529296875,2026-04-13T16:26:35
