run_dir,exp_id,task,policy,condition,controller,episodes,success_rate,avg_steps,avg_reward,avg_grasp_attempts,avg_grasp_success,avg_retry_count,flash_every,flash_len,wall_time_sec,generated
runs/batch/retry3_ablation_5s/mw-push-v3-text_buf-20260416-223532-seed2,mw-push-v3-text_buf-20260416-223532-seed2,push-v3,text_buf,PO,PD,60,0.9166666666666666,200.0,1398.8560452903532,0.0,0.0,0.0,20,1,11.506477117538452,2026-04-16T22:35:43
runs/batch/retry3_ablation_5s/mw-push-v3-text_buf-20260416-223545-seed3,mw-push-v3-text_buf-20260416-223545-seed3,push-v3,text_buf,PO,PD,60,0.4,200.0,574.2531229675302,0.0,0.0,0.0,20,1,11.744653701782227,2026-04-16T22:35:57
runs/batch/retry3_ablation_5s/mw-push-v3-text_buf-20260416-223559-seed4,mw-push-v3-text_buf-20260416-223559-seed4,push-v3,text_buf,PO,PD,60,0.6833333333333333,200.0,985.576719630195,0.0,0.0,0.0,20,1,11.556336164474487,2026-04-16T22:36:10
runs/batch/retry3_ablation_5s/mw-reach-v3-struct_mem-20260416-223423-seed0,mw-reach-v3-struct_mem-20260416-223423-seed0,reach-v3,struct_mem,PO,PD,60,0.6,200.0,1829.383682902274,0.0,0.0,0.0,20,1,6.581662654876709,2026-04-16T22:34:29
runs/batch/retry3_ablation_5s/mw-reach-v3-struct_mem-20260416-223431-seed1,mw-reach-v3-struct_mem-20260416-223431-seed1,reach-v3,struct_mem,PO,PD,60,0.5333333333333333,200.0,1840.7537910723715,0.0,0.0,0.0,20,1,6.4400410652160645,2026-04-16T22:34:38
runs/batch/retry3_ablation_5s/mw-reach-v3-struct_mem-20260416-223440-seed2,mw-reach-v3-struct_mem-20260416-223440-seed2,reach-v3,struct_mem,PO,PD,60,0.7,200.0,1832.1107976573849,0.0,0.0,0.0,20,1,6.549117088317871,2026-04-16T22:34:46
runs/batch/retry3_ablation_5s/mw-reach-v3-struct_mem-20260416-223448-seed3,mw-reach-v3-struct_mem-20260416-223448-seed3,reach-v3,struct_mem,PO,PD,60,0.7166666666666667,200.0,1859.8822054379698,0.0,0.0,0.0,20,1,6.626978158950806,2026-04-16T22:34:55
runs/batch/retry3_ablation_5s/mw-reach-v3-struct_mem-20260416-223456-seed4,mw-reach-v3-struct_mem-20260416-223456-seed4,reach-v3,struct_mem,PO,PD,60,0.6833333333333333,200.0,1837.3728829576596,0.0,0.0,0.0,20,1,6.5860443115234375,2026-04-16T22:35:03
runs/batch/retry3_ablation_5s/mw-reach-v3-text_buf-20260416-223340-seed0,mw-reach-v3-text_buf-20260416-223340-seed0,reach-v3,text_buf,PO,PD,60,0.6,200.0,1829.383682902274,0.0,0.0,0.0,20,1,6.7673211097717285,2026-04-16T22:33:47
runs/batch/retry3_ablation_5s/mw-reach-v3-text_buf-20260416-223349-seed1,mw-reach-v3-text_buf-20260416-223349-seed1,reach-v3,text_buf,PO,PD,60,0.5333333333333333,200.0,1840.7537910723715,0.0,0.0,0.0,20,1,6.568984031677246,2026-04-16T22:33:56
runs/batch/retry3_ablation_5s/mw-reach-v3-text_buf-20260416-223358-seed2,mw-reach-v3-text_buf-20260416-223358-seed2,reach-v3,text_buf,PO,PD,60,0.7,200.0,1832.1107976573849,0.0,0.0,0.0,20,1,6.647310972213745,2026-04-16T22:34:04
runs/batch/retry3_ablation_5s/mw-reach-v3-text_buf-20260416-223406-seed3,mw-reach-v3-text_buf-20260416-223406-seed3,reach-v3,text_buf,PO,PD,60,0.7166666666666667,200.0,1859.8822054379698,0.0,0.0,0.0,20,1,6.726342678070068,2026-04-16T22:34:13
runs/batch/retry3_ablation_5s/mw-reach-v3-text_buf-20260416-223415-seed4,mw-reach-v3-text_buf-20260416-223415-seed4,reach-v3,text_buf,PO,PD,60,0.6833333333333333,200.0,1837.3728829576596,0.0,0.0,0.0,20,1,6.478891849517822,2026-04-16T22:34:21
