condition,episodes,flash_every,flash_len,full_observable,mean_reward,po_mode,policy,seed,success_rate,task
WeakPO,60,5,1,False,65.48014405094393,weak,lstm,0,0.03333333333333333,push-v3
FO,60,5,1,True,7.710868555757565,weak,lstm,1,0.0,push-v3
StrongPO,60,5,1,False,1.7017005376351968,strong,lstm,1,0.0,push-v3
WeakPO,60,5,1,False,57.61011382771408,weak,lstm,1,0.05,push-v3
FO,60,5,1,True,39.69811791969827,weak,lstm,2,0.03333333333333333,push-v3
StrongPO,60,5,1,False,6.533503378115728,strong,lstm,2,0.0,push-v3
WeakPO,60,5,1,False,15.394728131911618,weak,lstm,2,0.0,push-v3
FO,60,5,1,True,20.570229519768382,weak,lstm,3,0.0,push-v3
StrongPO,60,5,1,False,11.868810448734374,strong,lstm,3,0.016666666666666666,push-v3
WeakPO,60,5,1,False,5.619869773089216,weak,lstm,3,0.0,push-v3
FO,60,5,1,True,31.151927913028977,weak,lstm,4,0.03333333333333333,push-v3
StrongPO,60,5,1,False,9.343080438941607,strong,lstm,4,0.0,push-v3
WeakPO,60,5,1,False,39.80989154806079,weak,lstm,4,0.05,push-v3
FO,60,5,1,True,31.66558966122711,weak,mlp,0,0.03333333333333333,push-v3
StrongPO,60,5,1,False,22.101958532023165,strong,mlp,0,0.0,push-v3
WeakPO,60,5,1,False,23.061944213369127,weak,mlp,0,0.0,push-v3
FO,60,5,1,True,80.21177747579524,weak,mlp,1,0.05,push-v3
StrongPO,60,5,1,False,3.622277233302617,strong,mlp,1,0.0,push-v3
WeakPO,60,5,1,False,15.82623606095561,weak,mlp,1,0.016666666666666666,push-v3
FO,60,5,1,True,12.253326055408639,weak,mlp,2,0.0,push-v3
StrongPO,60,5,1,False,4.29629931916429,strong,mlp,2,0.0,push-v3
WeakPO,60,5,1,False,44.026577604570555,weak,mlp,2,0.016666666666666666,push-v3
FO,60,5,1,True,9.406924480790495,weak,mlp,3,0.0,push-v3
StrongPO,60,5,1,False,7.212947755213818,strong,mlp,3,0.0,push-v3
WeakPO,60,5,1,False,66.22249860182187,weak,mlp,3,0.1,push-v3
FO,60,5,1,True,201.82668617043774,weak,mlp,4,0.16666666666666666,push-v3
StrongPO,60,5,1,False,6.655656776903858,strong,mlp,4,0.0,push-v3
WeakPO,60,5,1,False,30.49571731242748,weak,mlp,4,0.03333333333333333,push-v3
FO,60,5,1,True,1782.9773927216877,weak,lstm,0,0.9666666666666667,reach-v3
StrongPO,60,5,1,False,389.3213173374778,strong,lstm,0,0.06666666666666667,reach-v3
WeakPO,60,5,1,False,388.8931025593791,weak,lstm,0,0.0,reach-v3
FO,60,5,1,True,1034.3120071128653,weak,lstm,1,0.13333333333333333,reach-v3
StrongPO,60,5,1,False,592.86585917619,strong,lstm,1,0.05,reach-v3
WeakPO,60,5,1,False,643.4876994317898,weak,lstm,1,0.15,reach-v3
FO,60,5,1,True,1646.1211296367655,weak,lstm,2,0.7833333333333333,reach-v3
StrongPO,60,5,1,False,701.7653609272464,strong,lstm,2,0.08333333333333333,reach-v3
WeakPO,60,5,1,False,784.4801258892263,weak,lstm,2,0.05,reach-v3
FO,60,5,1,True,1668.9598694094282,weak,lstm,3,0.8833333333333333,reach-v3
StrongPO,60,5,1,False,273.29007176817953,strong,lstm,3,0.0,reach-v3
WeakPO,60,5,1,False,280.28557404737614,weak,lstm,3,0.0,reach-v3
FO,60,5,1,True,1414.5365253631467,weak,lstm,4,0.6666666666666666,reach-v3
StrongPO,60,5,1,False,491.83642271271117,strong,lstm,4,0.0,reach-v3
WeakPO,60,5,1,False,599.5088424226104,weak,lstm,4,0.03333333333333333,reach-v3
FO,60,5,1,True,1296.2875760923457,weak,mlp,0,0.36666666666666664,reach-v3
StrongPO,60,5,1,False,215.77726152299837,strong,mlp,0,0.0,reach-v3
WeakPO,60,5,1,False,255.10242150962793,weak,mlp,0,0.0,reach-v3
FO,60,5,1,True,1757.3070315952448,weak,mlp,1,0.85,reach-v3
StrongPO,60,5,1,False,113.02601404369992,strong,mlp,1,0.0,reach-v3
WeakPO,60,5,1,False,160.04010729547133,weak,mlp,1,0.0,reach-v3
FO,60,5,1,True,1078.6345358363296,weak,mlp,2,0.23333333333333334,reach-v3
StrongPO,60,5,1,False,436.9500955228248,strong,mlp,2,0.0,reach-v3
WeakPO,60,5,1,False,696.4597571062324,weak,mlp,2,0.05,reach-v3
FO,60,5,1,True,1537.6690710193718,weak,mlp,3,0.55,reach-v3
StrongPO,60,5,1,False,97.81951764836957,strong,mlp,3,0.0,reach-v3
WeakPO,60,5,1,False,106.41820839411064,weak,mlp,3,0.0,reach-v3
FO,60,5,1,True,1676.1405962670817,weak,mlp,4,0.5,reach-v3
StrongPO,60,5,1,False,173.50588291557614,strong,mlp,4,0.0,reach-v3
WeakPO,60,5,1,False,386.96392017418145,weak,mlp,4,0.11666666666666667,reach-v3
